image_start,step_instruction,question,answer,response,acc
episode_6714/step_005.jpg,Click on confirm,"Was the selected date changed to December 21, 2023, after clicking confirm?",Yes,Yes,100.0
episode_937/step_013.jpg,Add a title as Fav anime,"Is the title field still showing ""Write a title""?",No,No,100.0
episode_6714/step_005.jpg,Click on confirm,Did the calendar view change from a monthly view to a daily view after clicking confirm?,Yes,No,0.0
episode_6714/step_005.jpg,Click on confirm,Is there a cancel option visible after the confirm action?,No,No,100.0
episode_3023/step_006.jpg,Click on the Read button to open the magazine,Does the after state still show the table of contents?,No,No,100.0
episode_11417/step_000.jpg,Go back to the previous page,Does the pop-up message about registering with Cafeyn still appear after the action?,No,No,100.0
episode_14269/step_001.jpg,Click on the yes option in the middle of the screen.,"Is the question ""Stop the project?"" visible after the action?",No,No,100.0
episode_11417/step_000.jpg,Go back to the previous page,"Is the ""Subscribe"" button still present after going back to the previous page?",Yes,Yes,100.0
episode_4564/step_000.jpg,open the Flipkart app,Is there a search option available in the Flipkart app after it is opened?,Yes,Yes,100.0
episode_8885/step_003.jpg,"Type ""dbwscratch.test.id10@gmail.com""","Is the ""To"" field empty after the change?",No,No,100.0
episode_5664/step_001.jpg,click on comment option,Is the comment option visible in the before state?,Yes,Yes,100.0
episode_14345/step_003.jpg,Scroll up on the screen.,Is the battery percentage shown in both images?,Yes,Yes,100.0
episode_723/step_004.jpg,Click on the search icon at the bottom-right corner of the screen.,Is there a back arrow visible in the after state?,Yes,Yes,100.0
episode_6714/step_005.jpg,Click on confirm,Is the font size option still available in the settings after the confirm action?,Yes,Yes,100.0
episode_8885/step_003.jpg,"Type ""dbwscratch.test.id10@gmail.com""",Is the clock time visible in both images?,Yes,Yes,100.0
episode_19375/step_001.jpg,Go to the Article on Promise of hybrid Evs Cutting short term carbon emissions,Is the layout of the app's navigation bar unchanged between the two images?,No,No,100.0
episode_723/step_004.jpg,Click on the search icon at the bottom-right corner of the screen.,Do any changes occur to the battery icon after clicking the search icon?,No,No,100.0
episode_8885/step_003.jpg,"Type ""dbwscratch.test.id10@gmail.com""","Is the email address ""dbwscratch.test.id10@gmail.com"" displayed in the ""To"" field after the change?",Yes,Yes,100.0
episode_3023/step_006.jpg,Click on the Read button to open the magazine,"Is the title ""GLACIER NATIONAL PARK"" visible in the after state?",Yes,Yes,100.0
episode_3023/step_006.jpg,Click on the Read button to open the magazine,Does the after state include more descriptive text about Glacier National Park?,Yes,Yes,100.0
episode_723/step_004.jpg,Click on the search icon at the bottom-right corner of the screen.,Does the device display a list of search results after performing the action?,Yes,Yes,100.0
episode_4564/step_000.jpg,open the Flipkart app,"Is the ""Brand Mall"" toggle visible after opening the Flipkart app?",Yes,No,0.0
episode_4812/step_001.jpg,Go back to the home screen of the app.,Do the icons at the bottom of the screen remain the same after navigating back?,Yes,Yes,100.0
episode_723/step_004.jpg,Click on the search icon at the bottom-right corner of the screen.,Is the search bar visible after clicking the search icon?,Yes,Yes,100.0
episode_4564/step_000.jpg,open the Flipkart app,Is the app icon of Flipkart still visible in the same form after it is opened?,No,No,100.0
episode_723/step_004.jpg,Click on the search icon at the bottom-right corner of the screen.,Does the search icon still appear after the action is performed?,No,No,100.0
episode_5664/step_001.jpg,click on comment option,"After clicking the comment option, is the microphone icon present?",Yes,Yes,100.0
episode_4812/step_001.jpg,Go back to the home screen of the app.,Is the notification bar at the top still visible after going back to the home screen?,Yes,Yes,100.0
episode_4812/step_001.jpg,Go back to the home screen of the app.,Is the time displayed unchanged after going back to the home screen?,Yes,Yes,100.0
episode_16951/step_001.jpg,Swipe down for the Add to cart button,Is the product still the same wattage after swiping down?,Yes,Yes,100.0
episode_5312/step_003.jpg,Tap on the send icon at the top right corner of the screen,Is the email composition screen still open after the action?,No,No,100.0
episode_3023/step_006.jpg,Click on the Read button to open the magazine,Is there an image visible in the after state?,Yes,Yes,100.0
episode_14345/step_003.jpg,Scroll up on the screen.,Is the item details section still visible after scrolling up?,Yes,No,0.0
episode_4812/step_001.jpg,Go back to the home screen of the app.,Is the top menu still visible after returning to the home screen?,Yes,Yes,100.0
episode_6181/step_001.jpg,Open the craft art by Ginger W. Ware ,Can the user see multiple artworks in the before state?,Yes,Yes,100.0
episode_8885/step_003.jpg,"Type ""dbwscratch.test.id10@gmail.com""",Is the subject line visible after the change?,No,Yes,0.0
episode_16951/step_001.jpg,Swipe down for the Add to cart button,Did the product change from a Philips hair dryer to a Syska hair dryer after swiping down?,No,No,100.0
episode_16951/step_001.jpg,Swipe down for the Add to cart button,Is there an option to add a protection plan after the swipe down?,Yes,Yes,100.0
episode_16951/step_001.jpg,Swipe down for the Add to cart button,Is the product color listed as white after the swipe?,No,No,100.0
episode_10554/step_003.jpg,Type Whole Grilled Fish in the search bar,"Was the text in the search bar changed from ""Hungry?"" to ""Whole Grilled Fish""?",Yes,Yes,100.0
episode_12856/step_003.jpg,Click on the search icon at the bottom right corner of the screen to view the search result.,"Is the search result page showing articles related to ""Mechanical engineering projects""?",Yes,Yes,100.0
episode_4812/step_001.jpg,Go back to the home screen of the app.,Do the headlines displayed in the app change after performing the action?,Yes,Yes,100.0
episode_723/step_004.jpg,Click on the search icon at the bottom-right corner of the screen.,Are any notifications shown in the after image?,No,No,100.0
episode_12856/step_003.jpg,Click on the search icon at the bottom right corner of the screen to view the search result.,Is the keyboard still visible on the screen after the search results are displayed?,No,No,100.0
episode_10844/step_011.jpg,Click on the search button.,Did the option to select dates disappear after clicking the search button?,Yes,Yes,100.0
episode_14556/step_000.jpg,Open the Cookpad app,Was the Cookpad app opened after the change?,Yes,Yes,100.0
episode_4812/step_001.jpg,Go back to the home screen of the app.,Is the content on the home screen read different after the action?,Yes,Yes,100.0
episode_10844/step_011.jpg,Click on the search button.,"After clicking the search button, does the screen show a search results page?",Yes,Yes,100.0
episode_12624/step_009.jpg,Swipe up to view more options.,"Is there an additional option for notification style labeled ""Configure Channel"" visible after the swipe?",Yes,Yes,100.0
episode_15843/step_014.jpg,Click on search,"Is the title ""Fashion news"" still visible after performing the search?",Yes,No,0.0
episode_1672/step_007.jpg,Go back to previous page ,"Is the header still showing ""Save"" in the after state?",No,No,100.0
episode_6181/step_001.jpg,Open the craft art by Ginger W. Ware ,Does the after state allow the user to make an offer on the artwork?,Yes,Yes,100.0
episode_6792/step_006.jpg,Now click on the create button.,Is the screen still in editing mode after clicking the create button?,Yes,No,0.0
episode_8730/step_000.jpg,Open the Calculator app,Does the after state of the calculator app have more buttons available compared to the before state?,Yes,No,0.0
episode_14556/step_000.jpg,Open the Cookpad app,Is the temperature displayed on the screen the same in both images?,Yes,No,0.0
episode_10844/step_011.jpg,Click on the search button.,"Is there a new button labeled ""Sort & Filter"" visible after the search button was clicked?",Yes,Yes,100.0
episode_15843/step_014.jpg,Click on search,Did the loading spinner remain on the screen after the search was complete?,No,No,100.0
episode_6181/step_001.jpg,Open the craft art by Ginger W. Ware ,Does the after state provide information about the materials used in the artwork?,Yes,Yes,100.0
episode_3023/step_006.jpg,Click on the Read button to open the magazine,Did the user see the table of contents after clicking the Read button?,No,Yes,0.0
episode_6181/step_001.jpg,Open the craft art by Ginger W. Ware ,"Is the artwork titled ""Shrouded II"" by Ginger W. Ware displayed in the after state?",Yes,Yes,100.0
episode_10844/step_011.jpg,Click on the search button.,"Is the ""Search"" button still present after clicking the search button?",No,No,100.0
episode_18544/step_000.jpg,Open Clock app,"Is the ""Restore from Backup"" option still present after opening the Clock app?",No,No,100.0
episode_5312/step_003.jpg,Tap on the send icon at the top right corner of the screen,"Is the ""Send"" option visible after tapping the icon?",No,No,100.0
episode_12624/step_009.jpg,Swipe up to view more options.,"Does the selection indicator for ""Red Moon"" change state after the swipe?",No,No,100.0
episode_12856/step_003.jpg,Click on the search icon at the bottom right corner of the screen to view the search result.,"Did the search term change from ""Mechanical engineering projects"" to something else after clicking the search icon?",No,No,100.0
episode_12624/step_009.jpg,Swipe up to view more options.,"After the swipe, is the text ""Add Reminder"" still present?",Yes,Yes,100.0
episode_10844/step_011.jpg,Click on the search button.,Is the time displayed on the screen still the same after clicking the search button?,Yes,Yes,100.0
episode_1672/step_007.jpg,Go back to previous page ,Are the battery and connectivity indicators the same in both states?,Yes,Yes,100.0
episode_10844/step_011.jpg,Click on the search button.,Did the screen show the number of available activities after clicking the search button?,Yes,Yes,100.0
episode_6792/step_006.jpg,Now click on the create button.,Did the home button change its position after clicking the create button?,No,No,100.0
episode_14027/step_003.jpg,Click on the search icon at the bottom right corner of the screen,Are there any search results displayed in the after state?,Yes,Yes,100.0
episode_15752/step_007.jpg,Select date 15,Is the selected day of the week now Wednesday after the change?,Yes,Yes,100.0
episode_1672/step_007.jpg,Go back to previous page ,Does the screen display a message indicating a sign-in issue after the action?,Yes,No,0.0
episode_15768/step_005.jpg,Create a cartoon,Is the background color in both images the same?,Yes,No,0.0
episode_6181/step_001.jpg,Open the craft art by Ginger W. Ware ,Is there a search bar available in the after state?,No,No,100.0
episode_1672/step_007.jpg,Go back to previous page ,"Is the text ""Yoga is important"" visible after going back?",Yes,No,0.0
episode_1672/step_007.jpg,Go back to previous page ,"Is the ""Edit"" option present in the after state?",Yes,Yes,100.0
episode_12856/step_003.jpg,Click on the search icon at the bottom right corner of the screen to view the search result.,Did the search results include a gallery section after the action was performed?,Yes,Yes,100.0
episode_18544/step_000.jpg,Open Clock app,"Does the device now display a list of time zones, including Chicago, after opening the Clock app?",Yes,Yes,100.0
episode_6792/step_006.jpg,Now click on the create button.,Is there a toolbar visible at the bottom of the screen after the change?,Yes,Yes,100.0
episode_1672/step_007.jpg,Go back to previous page ,"Is the option to ""Export this file to ODT"" still available after going back?",No,No,100.0
episode_14027/step_003.jpg,Click on the search icon at the bottom right corner of the screen,Did the battery icon change its status after clicking the search icon?,No,No,100.0
episode_15752/step_007.jpg,Select date 15,Did the selected date change from November 10 to November 15?,Yes,Yes,100.0
episode_12624/step_009.jpg,Swipe up to view more options.,"Does the ""Farmer Almanac"" option still say ""Choose Phase"" after the swipe?",Yes,Yes,100.0
episode_15752/step_007.jpg,Select date 15,Is the calendar still displayed on the screen after the date change?,Yes,Yes,100.0
episode_14027/step_003.jpg,Click on the search icon at the bottom right corner of the screen,Is there a search term displayed in the search box in the after state?,Yes,Yes,100.0
episode_4183/step_001.jpg,Click on the Inseln art work on the left side.,Is the artwork displayed on the screen after the click different from the one before the click?,Yes,No,0.0
episode_15634/step_000.jpg,click on the cross icon to delete this timer,Is the screen now showing a numbered keypad after the action?,Yes,No,0.0
episode_18544/step_000.jpg,Open Clock app,Is the main screen still showing the Backup & Restore option after opening the Clock app?,No,No,100.0
episode_15752/step_007.jpg,Select date 15,Is the current time on the device now 11:15 after the change?,No,Yes,0.0
episode_18544/step_000.jpg,Open Clock app,Does the device now show a Clock label at the top of the screen after opening the app?,Yes,Yes,100.0
episode_7020/step_002.jpg,Scroll up,Has the bottom of the screen changed to show different content after the scroll action?,Yes,Yes,100.0
episode_7020/step_002.jpg,Scroll up,Is the UI still displaying information about the star Acamar after scrolling up?,Yes,Yes,100.0
episode_4183/step_001.jpg,Click on the Inseln art work on the left side.,"Did the ""Watch lot"" feature or icon disappear after the click?",No,No,100.0
episode_4183/step_001.jpg,Click on the Inseln art work on the left side.,Are the bid details still present after interacting with the artwork?,Yes,Yes,100.0
episode_2200/step_005.jpg,Enter the mail of the son.,Does the keyboard appear in both images?,Yes,Yes,100.0
episode_14027/step_003.jpg,Click on the search icon at the bottom right corner of the screen,"Is the text ""DEVIATIONS"" visible in the after state?",Yes,No,0.0
episode_15752/step_007.jpg,Select date 15,Is the text indicating the Gregorian date usage still visible after the change?,Yes,Yes,100.0
episode_15752/step_007.jpg,Select date 15,Does the booking screen still show the same number of passengers as before the change?,Yes,Yes,100.0
episode_4183/step_001.jpg,Click on the Inseln art work on the left side.,Did the starting bid amount change after clicking on the artwork?,No,No,100.0
episode_18544/step_000.jpg,Open Clock app,"Is there a ""Take Backup"" button visible on the screen after transitioning to the Clock app?",No,No,100.0
episode_4183/step_001.jpg,Click on the Inseln art work on the left side.,Is there a timer displayed on the screen that counts down the time remaining for the auction?,Yes,Yes,100.0
episode_11632/step_000.jpg,Open the amazon app,Is there a search bar visible on the screen after opening the Amazon app?,Yes,Yes,100.0
episode_12743/step_008.jpg,Swipe up for the price comparison ,Is the layout of the items still the same after the swipe up action?,Yes,Yes,100.0
episode_6405/step_004.jpg,Click on the right arrow key at the bottom right corner of the screen,"Is ""Cosmopolitan"" a part of the search results after the change?",Yes,No,0.0
episode_15768/step_000.jpg,Open the Infinite Printer app,Are there any pop-up menus present in the after state of the images?,No,No,100.0
episode_16259/step_011.jpg,Scroll up on the screen to view articles.,Is the advertisement present after the scroll action?,No,No,100.0
episode_15634/step_000.jpg,click on the cross icon to delete this timer,"Are any of the timer controls, such as the play button, still available after the deletion?",No,No,100.0
episode_2387/step_011.jpg,click on the confirm button,"Did the user change the pizza crust to ""THIN & CRISPY"" in the first state?",Yes,Yes,100.0
episode_15634/step_000.jpg,click on the cross icon to delete this timer,Is the action of deleting the timer indicated by a visual change on the screen?,Yes,Yes,100.0
episode_15843/step_014.jpg,Click on search,Did the screen turn completely white after clicking on search?,No,No,100.0
episode_4183/step_001.jpg,Click on the Inseln art work on the left side.,"Is there a ""Register to bid"" button visible after clicking on the artwork?",Yes,Yes,100.0
episode_15768/step_000.jpg,Open the Infinite Printer app,Is the app currently in a document editing mode?,No,Yes,0.0
episode_15634/step_000.jpg,click on the cross icon to delete this timer,Is the cross icon still present after the timer was deleted?,No,No,100.0
episode_5366/step_002.jpg,Click on the search bar,Is there a keyboard present on the screen after the action is performed?,Yes,Yes,100.0
episode_12743/step_008.jpg,Swipe up for the price comparison ,Is the time displayed on the device still the same after the action?,Yes,No,0.0
episode_2748/step_000.jpg,Click on the Save button,"Is the ""Saved"" status visible on the screen after the action is performed?",Yes,Yes,100.0
episode_5366/step_002.jpg,Click on the search bar,Is the button to cancel the search visible after the search bar is activated?,Yes,Yes,100.0
episode_5366/step_002.jpg,Click on the search bar,Does the battery icon change after clicking the search bar?,No,No,100.0
episode_15634/step_000.jpg,click on the cross icon to delete this timer,"Does the timer show ""00h 00m 00s"" after the timer was deleted?",Yes,No,0.0
episode_6405/step_004.jpg,Click on the right arrow key at the bottom right corner of the screen,Did the search results change after clicking the right arrow key?,Yes,Yes,100.0
episode_11632/step_000.jpg,Open the amazon app,Did the screen display the Amazon app after the action was performed?,Yes,Yes,100.0
episode_14103/step_004.jpg,Swipe up,Did the time change from 11:54 to 11:55 after the swipe up?,Yes,No,0.0
episode_5366/step_002.jpg,Click on the search bar,Is there a prompt about searching by title or topic visible after the action?,Yes,Yes,100.0
episode_11412/step_006.jpg,"type we cant help everyone , but everyone can help someone in center of the screen",Was the keyboard visible before the action was performed?,Yes,Yes,100.0
episode_12743/step_008.jpg,Swipe up for the price comparison ,Is the first item on the screen still the same after the swipe up?,No,No,100.0
episode_185/step_002.jpg,Zoom in to track the movements of stars and planets.,Has the interface changed to a more detailed view of the stars and planets after zooming in?,Yes,Yes,100.0
episode_11412/step_006.jpg,"type we cant help everyone , but everyone can help someone in center of the screen",Did the system notifications change after the action?,No,No,100.0
episode_5366/step_002.jpg,Click on the search bar,Is the search bar visible on the screen after the click action?,Yes,Yes,100.0
episode_185/step_002.jpg,Zoom in to track the movements of stars and planets.,Is the time displayed on the device screen the same before and after the zoom action?,No,No,100.0
episode_11632/step_000.jpg,Open the amazon app,Did the Amazon app show any shopping categories on the screen after being opened?,Yes,Yes,100.0
episode_9318/step_002.jpg,select Gmail app,Is the keyboard displayed on the screen after selecting the Gmail app?,Yes,Yes,100.0
episode_2387/step_011.jpg,click on the confirm button,"After the Confirm button is clicked, is the button still visible on the screen?",No,No,100.0
episode_9318/step_002.jpg,select Gmail app,Is there any change in the battery icon status between the two images?,No,No,100.0
episode_6418/step_019.jpg,Go back to the previous page ,Are there any new magazine titles visible after going back to the previous page?,Yes,Yes,100.0
episode_6792/step_006.jpg,Now click on the create button.,Is there a new line drawn on the screen after clicking the create button?,Yes,No,0.0
episode_6418/step_019.jpg,Go back to the previous page ,"Is the top magazine title still ""The 10 Most Influential Women in Free"" after the change?",No,No,100.0
episode_11632/step_000.jpg,Open the amazon app,Is the battery icon visible on the screen after opening the Amazon app?,Yes,Yes,100.0
episode_185/step_002.jpg,Zoom in to track the movements of stars and planets.,Is the orientation indicator still present on the screen after the zoom action?,Yes,Yes,100.0
episode_2748/step_000.jpg,Click on the Save button,"Did the video duration change after clicking the ""Save"" button?",No,No,100.0
episode_185/step_002.jpg,Zoom in to track the movements of stars and planets.,Are there more astrological labels visible after zooming in?,Yes,Yes,100.0
episode_2748/step_000.jpg,Click on the Save button,Is the interface color scheme different after the action?,No,No,100.0
episode_2748/step_000.jpg,Click on the Save button,"Is the ""Download"" button visible after the ""Save"" button is clicked?",Yes,Yes,100.0
episode_9318/step_002.jpg,select Gmail app,Is the image on the screen still the same after selecting the Gmail app?,No,No,100.0
episode_4204/step_004.jpg,Click on the three lines at the top-left of the screen.,Did the screen display a list of categories after the action was performed?,Yes,Yes,100.0
episode_14103/step_004.jpg,Swipe up,Did the average sessions per week increase after the swipe up?,No,No,100.0
episode_11632/step_000.jpg,Open the amazon app,Are there any notifications visible on the screen after the action was performed?,No,No,100.0
episode_14103/step_004.jpg,Swipe up,Is the total meditation time shown as 00:22:50 after the swipe up?,Yes,Yes,100.0
episode_9318/step_002.jpg,select Gmail app,"Is the ""Copy"" option visible after selecting the Gmail app?",No,No,100.0
episode_12743/step_008.jpg,Swipe up for the price comparison ,"After the swipe up, is there a new item displayed that wasn't shown before?",Yes,Yes,100.0
episode_14103/step_004.jpg,Swipe up,Did the number of completed sessions change after the swipe up?,No,No,100.0
